movie_id,title,industry,release_date,release_year,release_weekday,genre,languages,num_languages,weekend1_collection_cr,worldwide_collection_cr,india_net_cr,india_gross_cr,overseas_cr
31,Tiger Zinda Hai,Hindi,22-12-17,2017,4,Action|Thriller,Hindi,1,114.93,558,339.16,433.77,124.23
1978,Monsoon Shootout,Hindi,15-12-17,2017,4,Crime|Thriller,Hindi,1,0.38,0.88,0.72,0.87,0.01
36,Fukrey Returns,Hindi,08-12-17,2017,4,Drama|Romantic,Hindi,1,32.2,112.3,80.16,108.21,4.09
62,Firangi,Hindi,01-12-17,2017,4,Comedy|Drama|Historical,Hindi,1,6.6,16.6,10.21,13.77,2.83
83,Tera Intezaar,Hindi,01-12-17,2017,4,Musical|Romantic,Hindi,1,1.55,2.75,2.01,2.71,0.04
45,Tumhari Sulu,Hindi,17-11-17,2017,4,Comedy|Drama,Hindi,1,12.87,50.76,36.09,46.27,4.49
75,Aksar 2,Hindi,17-11-17,2017,4,Romantic|Thriller,Hindi,1,5.27,12,9.2,11.8,0.2
78,Qarib Qarib Singlle,Hindi,10-11-17,2017,4,Comedy|Romantic,Hindi,1,8.05,24.1,16.74,22.6,1.5
93,Shaadi Mein Zaroor Aana,Hindi,10-11-17,2017,4,Comedy|Romantic,Hindi,1,3.65,17,13.07,16.96,0.04
88,Ittefaq,Hindi,03-11-17,2017,4,Mystery|Thriller,Hindi,1,16.05,51.47,30.21,38.73,12.74
87,Ribbon,Hindi,03-11-17,2017,4,Drama,Hindi,1,0.23,0.53,0.39,0.52,0.01
28,Golmaal Again,Hindi,20-10-17,2017,4,Comedy,Hindi,1,87.6,308.62,205.69,262.88,45.74
22,Secret Superstar,Hindi,19-10-17,2017,3,Adventure|Musical,Hindi,1,31.1,912.75,63.4,81.28,831.47
17,Chef,Hindi,06-10-17,2017,4,Comedy|Family,Hindi,1,4,10.06,6.37,8.85,1.21
27,Judwaa 2,Hindi,29-09-17,2017,4,Comedy|Drama,Hindi,1,59.25,227.51,138.55,192.43,35.08
58,Newton,Hindi,22-09-17,2017,4,Black Comedy,Hindi,1,6.9,28.35,20.54,28.35,0
21,Bhoomi (film),Hindi,22-09-17,2017,4,Action|Drama,Hindi,1,7.48,14.84,10.33,14.28,0.56
18,Haseena Parkar,Hindi,22-09-17,2017,4,Crime|Thriller,Hindi,1,6.1,11.12,8.06,11.11,0.01
26,Simran,Hindi,15-09-17,2017,4,Crime|Romantic,Hindi,1,10.65,27.63,17.21,23.9,3.73
